Genotipo	2001	2002	2008	2009	2010	2011	2012	Media1	Wilting	H'	S	J'
CRRD2	56.2	93.7	NA	NA	NA	NA	NA	74.95	93.7	2.204667795	40	0.597652437
GRDF3	NA	37.6	NA	28.7	47.7	34.4	NA	37.1	37.1	2.092663728	57	0.51759515
GRHL2	37.5	81.2	NA	NA	NA	NA	NA	59.35	81.2	2.831079858	64	0.680730812
JCA2	NA	30	NA	29	40.5	NA	NA	33.16666667	33.16666667	2.236541426	58	0.55081217
MAPD2	1.2	36.2	NA	NA	NA	43.5	49.5	32.6	43.06666667	2.679073499	50	0.684830712
MDV1	NA	82.5	89.2	87.1	NA	86.7	80	85.1	85.1	2.765765423	46	0.722388215
MDV5	0	28.1	NA	12.5	13.5	NA	NA	13.525	18.03333333	2.61971853	56	0.650804882
MRT15	NA	NA	13	20	NA	14	14	15.25	15.25	2.868034447	61	0.697670262
TOR1	NA	NA	NA	NA	NA	64.5	100	82.25	82.25	1.017149717	32	0.29348737
VAD2	NA	NA	11	17	NA	NA	NA	14	14	2.493984565	52	0.631189758
